Class,Test,Display,Timestamp,Queries,Range,Item Count,Scenario,Start Duration Inclusive,End Duration Exclusive,Count
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv10Max1Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T21:18:48.3185949,20000,1000000.0,20000,Warmup,0.0,0.0,5
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv10Max1Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T21:18:48.3185949,20000,1000000.0,20000,Warmup,100.0,102.32929922807547,127
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv10Max1Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T21:18:48.3185949,20000,1000000.0,20000,Warmup,199.52623149688787,204.17379446695296,904
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv10Max1Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T21:18:48.3185949,20000,1000000.0,20000,Warmup,301.9951720402016,309.02954325135886,2651
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv10Max1Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T21:18:48.3185949,20000,1000000.0,20000,Warmup,398.1071705534973,407.380277804113,8887
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv10Max1Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T21:18:48.3185949,20000,1000000.0,20000,Warmup,501.18723362727246,512.8613839913648,4959
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv10Max1Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T21:18:48.3185949,20000,1000000.0,20000,Warmup,602.5595860743581,616.5950018614822,1536
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv10Max1Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T21:18:48.3185949,20000,1000000.0,20000,Warmup,707.945784384138,724.4359600749906,429
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv10Max1Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T21:18:48.3185949,20000,1000000.0,20000,Warmup,794.3282347242813,812.8305161640995,171
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv10Max1Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T21:18:48.3185949,20000,1000000.0,20000,Warmup,891.2509381337459,912.0108393559096,107
